BAM	ID	BADgroup	ASBgroup	Extra1_y	Extra2_y	Extra3_y
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagH3K4me324hOHT_rmdups.bam	BAM00001	cut&tag		CUT&Tag	histone	H3K4me3_24hOHT
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagH3K4me3noOHT_rmdups.bam	BAM00002	cut&tag		CUT&Tag	histone	H3K4me3
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagIgG24hOHT_rmdups.bam	BAM00003	cut&tag		CUT&Tag	IgG	IgG_24hOHT
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagIgGnoOHT_rmdups.bam	BAM00004	cut&tag		CUT&Tag	IgG	IgG
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagpATM24hOHT_rmdups.bam	BAM00005	cut&tag		CUT&Tag	repair	pATM_24hOHT
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagpATMnoOHT_rmdups.bam	BAM00006	cut&tag		CUT&Tag	repair	pATM
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagRAD51ab124hOHT_rmdups.bam	BAM00007	cut&tag		CUT&Tag	repair	RAD51ab1_24hOHT
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagRAD51ab1noOHT_rmdups.bam	BAM00008	cut&tag		CUT&Tag	repair	RAD51ab1
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagRAD51ab224hOHT_rmdups.bam	BAM00009	cut&tag		CUT&Tag	repair	RAD51ab2_24hOHT
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagRAD51ab2noOHT_rmdups.bam	BAM00010	cut&tag		CUT&Tag	repair	RAD51ab2
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagRPA24hOHT_rmdups.bam	BAM00011	cut&tag		CUT&Tag	replication	RPA_24hOHT
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagRPAnoOHT_rmdups.bam	BAM00012	cut&tag		CUT&Tag	replication	RPA
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagRPAS33P24hOHT_rmdups.bam	BAM00013	cut&tag		CUT&Tag	replication	RPAS33P_24hOHT
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagRPAS33PnoOHT_rmdups.bam	BAM00014	cut&tag		CUT&Tag	replication	RPAS33P
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagS9624hOHT_rmdups.bam	BAM00015	cut&tag		CUT&Tag		S96_24hOHT
AACGH2NM5_CUTTag_Pool1_22s004567-1-1_Clouaire_lane1CUTTagS96noOHT_rmdups.bam	BAM00016	cut&tag		CUT&Tag		S96
AAAVMJLM5_END_SEQ_inhib_22s001627-1-1_Clouaire_lane1ENDSEQ_24HOHTDNApki_rmdups.bam	BAM00017	endseq		ENDSEQ	break_mapping	24hOHT_DNApki
AAAVMJLM5_END_SEQ_inhib_22s001627-1-1_Clouaire_lane1ENDSEQ_24HOHT_rmdups.bam	BAM00018	endseq		ENDSEQ	break_mapping	DNApki
AAAVMJLM5_END_SEQ_inhib_22s001627-1-1_Clouaire_lane1ENDSEQ_OHTATMi_rmdups.bam	BAM00019	endseq		ENDSEQ	break_mapping	OHT_ATMi
AAAVMJLM5_END_SEQ_inhib_22s001627-1-1_Clouaire_lane1ENDSEQ_OHTDNAPKi_rmdups.bam	BAM00020	endseq		ENDSEQ	break_mapping	OHT_DNAPKi
AAAVMJLM5_END_SEQ_inhib_22s001627-1-1_Clouaire_lane1ENDSEQ_OHT_rmdups.bam	BAM00021	endseq		ENDSEQ	break_mapping	OHT
